date,day_name,is_friday,is_monday,days_to_expiry,is_expiry_week,close,gap_points,gap_pct,actual_target,prob_base,conv_base,trade_base,hit_base,pnl_base,trade_step_a,hit_step_a,pnl_step_a,prob_spec,conv_spec,trade_spec,hit_spec,pnl_spec
2025-12-02,Tuesday,False,False,23,False,1577.70849609375,-2.081053112907057,-0.13190352451416332,0,0.6993,0.6993,True,False,-1718.37,True,False,-1718.37,0.7135,0.7135,True,False,-1718.37
2025-12-03,Wednesday,False,False,22,False,1536.4844970703125,-1.4863807654282937,-0.09673906689344709,0,0.2572,0.7428,True,True,-841.73,True,True,-841.73,0.2255,0.7745,True,True,-841.73
2025-12-04,Thursday,False,False,21,False,1522.4129638671875,-1.2883082379676125,-0.08462278426052618,0,0.5962,0.5962,True,False,-1490.69,False,,0.0,0.5205,0.5205,False,,0.0
2025-12-05,Friday,True,False,20,False,1536.5836181640625,-0.5945873962282349,-0.03869541424232145,0,0.8172,0.8172,True,False,-3890.6,True,False,-3890.6,0.8205,0.8205,True,False,-3890.6
2025-12-08,Monday,False,True,17,False,1507.152099609375,-15.756297711508296,-1.045435143247455,0,0.4598,0.5402,False,,0.0,False,,0.0,0.399,0.601,False,,0.0
2025-12-09,Tuesday,False,False,16,False,1503.4854736328125,-6.214218160494056e-05,-4.133207982035827e-06,0,0.435,0.565,True,True,-1171.22,False,,0.0,0.6317,0.6317,False,,0.0
2025-12-10,Wednesday,False,False,15,False,1465.9281005859375,1.6846781327337794,0.11492228930330256,1,0.3722,0.6278,True,False,-1544.58,False,,0.0,0.381,0.619,False,,0.0
2025-12-11,Thursday,False,False,14,False,1508.935791015625,8.22494787721621,0.5450826951145624,1,0.6551,0.6551,True,True,778.31,True,True,778.31,0.7857,0.7857,True,True,778.31
2025-12-12,Friday,True,False,13,False,1512.701416015625,-7.531282865485537,-0.49786975709473025,0,0.3738,0.6262,True,True,-1903.99,False,,0.0,0.4035,0.5965,False,,0.0
2025-12-15,Monday,False,True,10,False,1503.8818359375,-9.513127962190538,-0.6325715049454121,0,0.5722,0.5722,True,False,-3430.88,False,,0.0,0.5624,0.5624,False,,0.0
2025-12-16,Tuesday,False,False,9,False,1487.630126953125,-9.800251200431376e-05,-6.587827863168961e-06,0,0.3666,0.6334,True,True,-1159.91,False,,0.0,0.2906,0.7094,True,True,-1159.91
2025-12-17,Wednesday,False,False,8,False,1463.9461669921875,-0.29723764374193706,-0.020303864338989952,0,0.1789,0.8211,True,True,-1072.47,True,True,-1072.47,0.1739,0.8261,True,True,-1072.47
2025-12-18,Thursday,False,False,7,False,1476.135009765625,3.369229849708745,0.2282467272586197,1,0.7442,0.7442,True,True,-351.55,True,True,-351.55,0.7677,0.7677,True,True,-351.55
2025-12-19,Friday,True,False,6,False,1486.0445556640625,6.3422160193536,0.4267850513082012,1,0.7792,0.7792,True,True,-2123.08,True,True,-2123.08,0.7879,0.7879,True,True,-2123.08
2025-12-22,Monday,False,True,3,True,1504.971923828125,4.162112682310635,0.2765574969480938,1,0.8306,0.8306,True,True,-183.79,True,True,-183.79,0.8388,0.8388,True,True,211.61
2025-12-23,Tuesday,False,False,2,True,1501.8009033203125,-2.4774301092850237,-0.1649639512007021,0,0.5234,0.5234,False,,0.0,False,,0.0,0.6024,0.6024,False,,0.0
2025-12-24,Wednesday,False,False,1,True,1485.3509521484375,-2.8737633338887463,-0.19347369251233756,0,0.3323,0.6677,True,True,-475.79,True,True,-475.79,0.2845,0.7155,True,True,-202.79
